timestamp,dataset,channel,window,sensor_height_m,reference_height_m,wind_profile_alpha,wind_mean_roof_m_s,wind_median_roof_m_s,wind_max_raw_roof_m_s,wind_std_roof_m_s,wind_3s_gust_roof_m_s,wind_mean_10m_m_s,wind_median_10m_m_s,wind_max_raw_10m_m_s,wind_std_10m_m_s,wind_3s_gust_10m_m_s,wind_mean_roof_mph,wind_3s_gust_roof_mph,wind_max_raw_roof_mph,wind_mean_10m_mph,wind_3s_gust_10m_mph,wind_max_raw_10m_mph,n_samples
2023-03-04 08:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.5670036109838001,1.213361,7.097203,1.1424759425428803,5.4315864666666664,1.1091914576385682,0.8588682545452693,5.023700574489744,0.8086928116461342,3.844706717982288,3.505287247189957,12.150112890718193,15.875990962777363,2.481190626428434,8.60036398975994,11.237698135490644,180000
2023-03-04 08:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.3959473937174944,1.070895,6.959967,1.0544394096116336,5.715445746666667,0.9881106294657256,0.7580247918395729,4.92655912707156,0.7463768287071103,4.045634326789623,3.122645386805415,12.785088015986625,15.569002773800985,2.2103405276165993,9.049826249976777,11.020398906298215,180000
2023-03-04 09:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.4014204659364944,1.04996,7.219773,1.0708890758070548,5.4302595333333326,0.9919847015545209,0.7432061130548542,5.1104608065720445,0.7580205984451468,3.843767458424828,3.1348883006811312,12.147144625387721,16.15017224409447,2.2190065800700602,8.5982629259682,11.431775247342607,180000
2023-03-04 09:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.4101720198066499,1.254638,5.79682,0.8639299424839568,4.379009263333333,0.9981794216724572,0.8880858616241725,4.10323446634028,0.611526167192279,3.099648037671118,3.154464969145151,9.795564744392735,12.967117036506787,2.232863774320992,6.933715188061727,9.17867409256504,180000
2023-03-04 10:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,0.9423559295986278,0.9071421,3.812942,0.4705223873148257,2.33185261,0.6670393991687207,0.6421135606398509,2.698961677705438,0.3330556541025775,1.6505839408119516,2.1079901789518316,5.216205731030774,8.529308339298488,1.4921246402306727,3.6922511202844257,6.037405327723325,180000
2023-03-04 10:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,0.9305025074878722,0.7654365,4.158768,0.6530095797690735,3.0960325166666665,0.6586490454663577,0.5418083412275819,2.9437519528143072,0.4622278101715845,2.191502812110244,2.0814748288472424,6.925627497912185,9.302899069434492,1.473355953530684,4.9022521745486785,6.584985578056335,180000
2023-03-04 11:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.4232997550323667,1.4078404999999998,4.229733,0.9129530900242376,3.4797953466666667,1.0074717881152915,0.9965290733039376,2.9939839824277574,0.6462268252488972,2.463146380645455,3.183830876504038,7.784080499880688,9.461643253400133,2.253650206056036,5.50990153150826,6.697351428122213,180000
2023-03-04 11:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.9810141561562389,2.329585,4.082909,0.9594340394413301,3.4213610166666664,1.4022456387895923,1.6489788305086788,2.8900557429299036,0.6791280079105001,2.4217840894455382,4.431402460979413,7.653366626401804,9.133207319255538,3.136734159783444,5.417376721200643,6.464870577420142,180000
2023-03-04 12:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,2.5938742308613225,2.9261685,6.243502,1.3731353542029987,5.163364456666668,1.8360539305036316,2.0712658739652494,4.419414885586316,0.9719633026928751,3.6548478305124226,5.802331404038385,11.550117342221416,13.96631621331423,4.1071356713127,8.175661754009527,9.885949547213473,180000
2023-03-04 12:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,2.699195327776189,3.1062955,6.208901,1.3811521420701365,5.020056033333333,1.9106046591606962,2.198767385952593,4.394922833776904,0.977637924345053,3.55340806492746,6.037927988046229,11.229545529109984,13.888915980672856,4.273900901844788,7.948747460915032,9.831162387654123,180000
