,timestamp,dataset,channel,window,sensor_height_m,reference_height_m,wind_profile_alpha,wind_mean_roof_m_s,wind_median_roof_m_s,wind_max_raw_roof_m_s,wind_std_roof_m_s,wind_3s_gust_roof_m_s,wind_mean_10m_m_s,wind_median_10m_m_s,wind_max_raw_10m_m_s,wind_std_10m_m_s,wind_3s_gust_10m_m_s,wind_mean_roof_mph,wind_3s_gust_roof_mph,wind_max_raw_roof_mph,wind_mean_10m_mph,wind_3s_gust_10m_mph,wind_max_raw_10m_mph,n_samples
59,12/28/2025 5:00,27.12.2025,31S4S,30min,118,10,0.14,2.992001589,2.878476,8.046884,1.184457481,7.13376939,2.11786532,2.037507105,5.695924968,0.838409121,5.049583812,6.692916941,15.95778765,18.00036686,4.737529796,11.29559729,12.74142128,180000
60,12/28/2025 5:30,27.12.2025,31S4S,30min,118,10,0.14,2.830355179,2.7187285,7.140965,1.203384412,6.89996512,2.003445151,1.924431065,5.05467717,0.851806403,4.884087258,6.33132422,15.43478239,15.97388377,4.481579168,10.92539204,11.30699081,180000
61,12/28/2025 6:00,27.12.2025,31S4S,30min,118,10,0.14,2.491753626,2.422977,6.784513,1.151873721,6.463899547,1.763768646,1.71508564,4.802365362,0.815344957,4.575421594,5.573894117,14.45933148,15.17652335,3.945438094,10.23492662,10.74258537,180000
62,12/28/2025 6:30,27.12.2025,31S4S,30min,118,10,0.14,2.552350242,2.4722175,6.817352,1.212428145,6.292818583,1.806661495,1.749940149,4.825610196,0.858207941,4.45432325,5.709444887,14.07663427,15.2499821,4.041386665,9.964037334,10.79458258,180000
63,12/28/2025 7:00,27.12.2025,31S4S,30min,118,10,0.14,2.807575587,2.6963745,7.924833,1.248483738,7.533589843,1.987320792,1.908607958,5.609532106,0.883729615,5.332593646,6.280367722,16.85216053,17.72734655,4.445510004,11.92867226,12.54816595,180000
64,12/28/2025 7:30,27.12.2025,31S4S,30min,118,10,0.14,3.073701492,2.922766,9.656805,1.465717299,9.309320493,2.175695968,2.068857441,6.83549517,1.037496721,6.589530934,6.875674419,20.82435687,21.60165757,4.866893272,14.74036089,15.29056722,180000
65,12/28/2025 8:00,27.12.2025,31S4S,30min,118,10,0.14,3.077965698,2.933429,8.547359,1.465721686,7.38575981,2.178714353,2.076405163,6.050182349,1.037499826,5.227953294,6.885213175,16.52147416,19.11989755,4.873645207,11.69459846,13.53387247,180000
66,12/28/2025 8:30,27.12.2025,31S4S,30min,118,10,0.14,2.844511081,2.7577525,8.144382,1.339032174,6.741605513,2.013465298,1.952053903,5.764938178,0.947823629,4.771993628,6.362990069,15.08054204,18.21846367,4.503993597,10.67464573,12.89579943,180000
67,12/28/2025 9:00,27.12.2025,31S4S,30min,118,10,0.14,2.91409269,2.766226,8.252618,1.392009481,7.582696463,2.062718105,1.958051805,5.841552198,0.985323208,5.36735339,6.518639697,16.96200891,18.46058071,4.614168989,12.00642759,13.06718011,180000
68,12/28/2025 9:30,27.12.2025,31S4S,30min,118,10,0.14,2.72419637,2.6246225,9.56778,1.329374999,7.6503586,1.928301455,1.857818856,6.772479508,0.940987872,5.415247513,6.093853727,17.1133648,21.40251432,4.313487506,12.11356369,15.1496052,180000
69,12/28/2025 10:00,27.12.2025,31S4S,30min,118,10,0.14,2.788695677,2.6671415,8.054764,1.389395614,7.013947187,1.973956793,1.887915604,5.701502766,0.983473003,4.964768587,6.238134567,15.68975301,18.01799392,4.415615589,11.10587103,12.75389846,180000
70,12/28/2025 10:30,27.12.2025,31S4S,30min,118,10,0.14,2.58896629,2.553603,7.237129,1.263636596,6.354120683,1.832579882,1.807548249,5.122746118,0.894455449,4.49771547,5.791352653,14.21376316,16.18899651,4.099364447,10.06110297,11.45925671,180000
71,12/28/2025 11:00,27.12.2025,31S4S,30min,118,10,0.14,2.824029557,2.713119,9.413688,1.407723954,8.44461518,1.998967608,1.920460423,6.663406671,0.996446577,5.977455926,6.317174206,18.89006617,21.05782033,4.47156319,13.3711881,14.90561621,180000
72,12/28/2025 11:30,27.12.2025,31S4S,30min,118,10,0.14,2.642704619,2.5684375,6.486415,1.222073696,5.830859333,1.870618145,1.818048736,4.591358985,0.865035469,4.127328947,5.911561871,13.04326086,14.50969712,4.184453617,9.23257191,10.27057754,180000
73,12/28/2025 12:00,27.12.2025,31S4S,30min,118,10,0.14,2.565444021,2.4877285,6.949286,1.07836073,5.96566646,1.815929825,1.760919491,4.918998663,0.763309351,4.222751135,5.738734836,13.34481581,15.54511006,4.06211933,9.446025266,11.00348663,180000
74,12/28/2025 12:30,27.12.2025,31S4S,30min,118,10,0.14,2.808004865,2.7555735,6.933914,1.141238411,6.420570447,1.987624654,1.950511515,4.908117711,0.807816834,4.544751424,6.281327991,14.36240705,15.51072387,4.446189723,10.1663194,10.97914663,180000
75,12/28/2025 13:00,27.12.2025,31S4S,30min,118,10,0.14,2.942417901,2.821522,9.262711,1.29521562,7.11363077,2.082767887,1.997192654,6.556538762,0.916808418,5.035328845,6.582001389,15.91273884,20.7200944,4.659019075,11.26370984,14.66655951,180000
76,12/28/2025 13:30,27.12.2025,31S4S,30min,118,10,0.14,3.009855144,2.931741,8.153709,1.362393419,7.946313093,2.130502822,2.075210325,5.771540223,0.964359706,5.624736625,6.732854206,17.77539615,18.23932758,4.765799082,12.58217749,12.91056779,180000
77,12/28/2025 14:00,27.12.2025,31S4S,30min,118,10,0.14,3.254199205,3.0789905,9.99414,1.466896249,8.518007247,2.303459886,2.179439752,7.074275156,1.038331231,6.029405936,7.279436303,19.05423955,22.35625447,5.152693017,13.48739696,15.82470284,180000
78,12/28/2025 14:30,27.12.2025,31S4S,30min,118,10,0.14,3.50640585,3.359157,9.745107,1.59355357,9.387876643,2.481982421,2.377753455,6.897999062,1.127984642,6.6451363,7.8436065,21.00008197,21.79918352,5.552036553,14.86474656,15.43038444,180000
79,12/28/2025 15:00,27.12.2025,31S4S,30min,118,10,0.14,3.200498981,3.0641385,8.332019,1.353661164,7.332005157,2.265448596,2.168926878,5.897755586,0.958178647,5.189903476,7.159312323,16.40122843,18.63819569,5.067664181,11.60948344,13.19290351,180000
80,12/28/2025 15:30,27.12.2025,31S4S,30min,118,10,0.14,3.243804613,3.08639,12.73893,1.444288382,9.02053951,2.296102155,2.184677431,9.017153653,1.022328427,6.385119535,7.256184264,20.1783722,28.49617484,5.13623424,14.28310562,20.17079826,180000
81,12/28/2025 16:00,27.12.2025,31S4S,30min,118,10,0.14,3.909815686,3.7604555,13.80673,1.874283774,11.12537323,2.767532972,2.661809512,9.772987673,1.326697359,7.875009902,8.746008603,24.88675115,30.88477541,6.190794943,17.61589545,21.86155081,180000
82,12/28/2025 16:30,27.12.2025,31S4S,30min,118,10,0.14,4.19195402,4.051423,15.81922,2.072540455,13.309732,2.967242422,2.86776862,11.19751325,1.467031826,9.42119146,9.377134083,29.77302255,35.38658733,6.637532261,21.07460509,25.04812376,180000
83,12/28/2025 17:00,27.12.2025,31S4S,30min,118,10,0.14,5.054357699,4.9697745,13.74984,2.296860433,12.86601263,3.577688235,3.517816668,9.732718524,1.625814997,9.107108118,11.30627617,28.78045059,30.75751611,8.003060654,20.37202067,21.77147129,180000
84,12/28/2025 17:30,27.12.2025,31S4S,30min,118,10,0.14,5.362897347,5.0626005,18.60084,2.701057475,14.9268613,3.796085652,3.583522839,13.16646158,1.911922766,10.565864,11.99645971,33.39043777,41.60889406,8.491601764,23.63516464,29.45253574,180000
85,12/28/2025 18:00,27.12.2025,31S4S,30min,118,10,0.14,5.303209816,5.0443915,13.76378,2.483618053,12.16754653,3.753836293,3.570633738,9.742585846,1.758009943,8.61270426,11.8629425,27.21802643,30.788699,8.397092639,19.26607073,21.79354386,180000
86,12/28/2025 18:30,27.12.2025,31S4S,30min,118,10,0.14,6.038489467,5.902673,14.2966,2.74790914,13.39353077,4.27429834,4.178161699,10.11973839,1.945086357,9.480507773,13.50771624,29.96047505,31.98058339,9.56133308,21.2072919,22.63721006,180000
87,12/28/2025 19:00,27.12.2025,31S4S,30min,118,10,0.14,5.829770961,5.645379,16.97842,2.890460284,15.87208113,4.126558551,3.996038119,12.01804405,2.045990088,11.23493059,13.04082624,35.50483432,37.97964388,9.230848584,25.13182398,26.8835989,180000
88,12/28/2025 19:30,27.12.2025,31S4S,30min,118,10,0.14,5.446436825,5.2464175,16.12138,2.675742118,15.14625303,3.85521843,3.713636289,11.41139488,1.894003485,10.72115875,12.1833322,33.8812031,36.0625,8.62387802,23.98254911,25.52656335,180000
89,12/28/2025 20:00,27.12.2025,31S4S,30min,118,10,0.14,5.876575498,5.788698,14.76596,2.694909697,13.63894397,4.159688783,4.097485371,10.45197125,1.907571109,9.65422162,13.14552501,30.50944874,33.03051181,9.304958802,21.59587871,23.38039382,180000
90,12/28/2025 20:30,27.12.2025,31S4S,30min,118,10,0.14,5.344575437,5.189314,14.17429,2.589463851,13.21077973,3.78311663,3.673216015,10.03316219,1.832932077,9.351148859,11.95547476,29.55167263,31.70698372,8.462590886,20.91792426,22.44354463,180000
91,12/28/2025 21:00,27.12.2025,31S4S,30min,118,10,0.14,5.661083219,5.575639,15.38973,2.613949086,13.75537027,4.00715423,3.946673196,10.89350205,1.850263762,9.736633081,12.66348251,30.76988696,34.42584556,8.963748725,21.7802279,24.36807009,180000
92,12/28/2025 21:30,27.12.2025,31S4S,30min,118,10,0.14,4.872865405,4.8341875,14.43712,2.253419621,11.78389353,3.44922031,3.421842453,10.21920439,1.595065753,8.341138429,10.90028947,26.35981909,32.29491768,7.715686092,18.65859527,22.85970917,180000
93,12/28/2025 22:00,27.12.2025,31S4S,30min,118,10,0.14,4.394641171,4.325303,12.07414,2.123937247,10.98849253,3.110712963,3.061632472,8.546587163,1.50341265,7.778119951,9.830532325,24.58055774,27.00908196,6.958466721,17.3991588,19.118171,180000
94,12/28/2025 22:30,27.12.2025,31S4S,30min,118,10,0.14,4.856313817,4.7020505,14.90399,2.29107625,11.85700976,3.437504396,3.328310293,10.54967473,1.621720708,8.392893192,10.86326462,26.52337545,33.33927613,7.689478337,18.77436738,23.59895027,180000
95,12/28/2025 23:00,27.12.2025,31S4S,30min,118,10,0.14,5.612190011,5.578569,15.67753,2.598858973,13.46004113,3.972545548,3.948747174,11.09721907,1.839582342,9.527586625,12.55411151,30.1092545,35.06963583,8.886331309,21.3126043,24.82377208,180000
96,12/28/2025 23:30,27.12.2025,31S4S,30min,118,10,0.14,5.027527241,4.8459625,14.71305,2.446084639,12.32561923,3.558696502,3.430177296,10.41451932,1.731442204,8.724594805,11.24625814,27.57162499,32.91215551,7.960577357,19.51636275,23.29661622,180000
